Epoch	Training MSE Loss	Validation MSE Loss
380	0.00025	0.00104
381	0.00037	0.00025
382	0.00021	0.00014
383	0.00026	0.00022
384	0.00017	9e-05
385	0.00027	0.0013
386	0.00027	0.00017
387	0.00023	0.00017
388	0.00015	0.00042
389	0.00041	0.00195
390	0.00024	0.00014
391	0.00027	0.00021
392	0.00021	0.00031
393	0.00018	0.00021
394	0.00019	0.00021
395	0.0002	0.0002
396	0.00018	0.00014
397	0.00025	0.0098
398	0.00018	6e-05
399	0.00031	0.00022
400	0.00047	0.00037
